players,assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage,kd_ratio,damage_per_match,headshots_per_match,kills_per_match,,
437,2391,1520920,3443,silver,1362,6781,511,7965,1275358,13.27,160.12,0.43,0.85,,
438,2388,1343029,3495,silver,1109,6742,444,7002,1268549,15.18,181.17,0.50,0.96,,
439,2373,1445465,4720,silver,1321,7139,457,7572,1394705,15.62,184.19,0.62,0.94,,
440,2368,1305598,3484,silver,1198,5794,393,7001,1066862,14.74,152.39,0.50,0.83,,
441,2365,1202000,2080,bronze,1172,5258,373,6508,971851,14.10,149.33,0.32,0.81,,
442,2361,1314291,3945,silver,1157,6602,429,7017,1270904,15.39,181.12,0.56,0.94,,
443,2359,1291384,4459,silver,1149,6608,457,6747,1254966,14.46,186.00,0.66,0.98,,
444,2356,1206736,3411,silver,1192,6478,436,6428,1226424,14.86,190.79,0.53,1.01,,
445,2351,1225986,3690,silver,1166,5623,410,6519,1096693,13.71,168.23,0.57,0.86,,
446,2350,1241822,3738,silver,920,6576,487,6591,1233434,13.50,187.14,0.57,1.00,,
447,2350,1300649,3133,silver,1221,6653,443,6779,1300668,15.02,191.87,0.46,0.98,,
448,2350,1331052,3241,silver,1309,6372,459,6863,1194274,13.88,174.02,0.47,0.93,,
449,2349,1393909,4107,silver,1161,8057,468,6928,1535225,17.22,221.60,0.59,1.16,,
450,2341,1158579,3249,silver,1149,8234,383,5907,1445314,21.50,244.68,0.55,1.39,,
451,2337,1134896,2957,silver,1003,5784,363,5894,1128561,15.93,191.48,0.50,0.98,,
452,2336,1251425,2957,silver,1093,6529,413,6521,1194251,15.81,183.14,0.45,1.00,,
453,2331,1548483,3872,silver,1109,8290,493,8320,1499317,16.82,180.21,0.47,1.00,,
454,2328,1357842,2666,bronze,1005,6875,445,6908,1243584,15.45,180.02,0.39,1.00,,
455,2327,1394017,3200,silver,1071,6928,556,7353,1353641,12.46,184.09,0.44,0.94,,
456,2311,1440198,3568,silver,1373,5882,479,7874,1208497,12.28,153.48,0.45,0.75,,
457,2301,1411229,4967,silver,1159,8363,510,7143,1542859,16.40,216.00,0.70,1.17,,
458,2298,1242682,3054,silver,1028,6625,439,6547,1230811,15.09,188.00,0.47,1.01,,
459,2170,1152114,3068,silver,1050,6431,380,5930,1187518,16.92,200.26,0.52,1.08,,
460,2167,1165990,2996,silver,1129,5605,366,5990,1100457,15.31,183.72,0.50,0.94,,
461,2167,1295541,3166,silver,1206,6139,401,6776,1206237,15.31,178.02,0.47,0.91,,
462,2165,1418570,2889,silver,1029,7169,446,7309,1275120,16.07,174.46,0.40,0.98,,
463,2163,1173750,4160,silver,994,6211,379,5957,1206260,16.39,202.49,0.70,1.04,,
464,2162,1134756,3334,gold,1045,6717,392,5966,1318232,17.14,220.96,0.56,1.13,,
465,2159,1364587,3049,silver,1221,5857,438,7002,1148799,13.37,164.07,0.44,0.84,,
466,2158,1116143,2858,silver,1039,6384,351,5691,1176275,18.19,206.69,0.50,1.12,,
467,2158,1563703,3968,silver,1357,7009,561,8316,1350209,12.49,162.36,0.48,0.84,,
468,2154,1362175,3559,silver,1284,6453,430,7231,1232009,15.01,170.38,0.49,0.89,,
469,2151,1142375,2850,silver,921,6188,400,6029,1177098,15.47,195.24,0.47,1.03,,
470,2151,1119973,3267,silver,979,6748,353,5915,1257111,19.12,212.53,0.55,1.14,,
471,2150,1378245,6479,silver,1180,9981,611,7019,1848046,16.34,263.29,0.92,1.42,,
472,2148,1146419,3425,silver,863,6102,405,6015,1101785,15.07,183.17,0.57,1.01,,
473,2142,1203271,3993,silver,1097,6011,427,6472,1131342,14.08,174.81,0.62,0.93,,
474,2135,1424840,3096,silver,1276,6688,429,7459,1273640,15.59,170.75,0.42,0.90,,
475,2130,1276716,2923,silver,1099,5970,431,6721,1175687,13.85,174.93,0.43,0.89,,
476,2126,1240011,3405,silver,1131,6002,400,6452,1136689,15.01,176.18,0.53,0.93,,
477,2124,1219609,3553,silver,984,6755,405,6404,1258667,16.68,196.54,0.55,1.05,,
478,2116,1149095,3366,silver,992,6015,402,5913,1146181,14.96,193.84,0.57,1.02,,
479,2108,1702608,6626,gold,1582,9272,535,9051,1817172,17.33,200.77,0.73,1.02,,
480,2087,1336210,5061,silver,1178,8032,430,6906,1518539,18.68,219.89,0.73,1.16,,
481,2084,1269406,3555,silver,920,6276,412,6599,1245954,15.23,188.81,0.54,0.95,,
482,2081,1430532,4198,silver,1068,7537,508,7475,1459018,14.84,195.19,0.56,1.01,,
483,2080,1230350,4212,gold,1119,6469,386,6333,1269410,16.76,200.44,0.67,1.02,,
484,2079,1301063,4329,silver,1088,6461,420,6446,1253427,15.38,194.45,0.67,1.00,,
485,2079,1206399,3411,silver,945,6327,429,6119,1263228,14.75,206.44,0.56,1.03,,
486,2079,1131907,3915,silver,1106,5638,389,5974,1082269,14.49,181.16,0.66,0.94,,
487,2077,1336834,4591,silver,1045,7536,444,6692,1387956,16.97,207.41,0.69,1.13,,
488,2068,1122548,3553,silver,853,5803,391,5943,1108028,14.84,186.44,0.60,0.98,,
489,2057,1219707,2251,bronze,1069,5891,419,6306,1063656,14.06,168.67,0.36,0.93,,
490,2057,1130877,3631,silver,846,6105,388,5814,1155990,15.73,198.83,0.62,1.05,,
491,2057,1144446,3205,silver,883,6047,420,6058,1174629,14.40,193.90,0.53,1.00,,
492,2051,1111542,3126,silver,954,5903,355,5678,1113618,16.63,196.13,0.55,1.04,,
493,2045,1393569,3907,silver,1350,6933,453,7443,1367090,15.30,183.67,0.52,0.93,,
494,2044,1318697,4123,silver,1242,5453,449,7116,1071236,12.14,150.54,0.58,0.77,,
495,2030,1130440,2928,silver,1001,5519,424,6084,1090471,13.02,179.24,0.48,0.91,,
496,2023,1333535,3112,bronze,1112,7168,420,6665,1347974,17.07,202.25,0.47,1.08,,
497,2021,1263131,3332,silver,1031,6883,464,6655,1250494,14.83,187.90,0.50,1.03,,
498,2017,1152728,3048,silver,948,6046,385,5771,1161527,15.70,201.27,0.53,1.05,,
499,2003,1682867,6103,silver,1401,8382,555,8987,1606074,15.10,178.71,0.68,0.93,,
500,2002,1558214,4208,silver,1189,7756,507,7962,1405469,15.30,176.52,0.53,0.97,,
501,2002,1539330,6314,gold,1147,8591,507,8076,1640327,16.94,203.11,0.78,1.06,,
502,1996,1216967,3789,silver,845,6834,387,6115,1326053,17.66,216.85,0.62,1.12,,
503,1990,1259864,3773,silver,1049,6272,414,6366,1226217,15.15,192.62,0.59,0.99,,
504,1987,1114634,3695,silver,871,5792,393,5810,1096576,14.74,188.74,0.64,1.00,,
505,1979,1267436,4310,silver,1103,6916,446,6803,1318962,15.51,193.88,0.63,1.02,,
506,1977,1182512,2936,bronze,1119,4818,358,6105,944401,13.46,154.69,0.48,0.79,,
507,1965,1650725,5783,silver,1286,8566,536,8628,1584907,15.98,183.69,0.67,0.99,,
508,1960,1273689,4647,silver,972,7160,465,6654,1371028,15.40,206.05,0.70,1.08,,
509,1959,1324165,3946,silver,1155,6276,415,6977,1177840,15.12,168.82,0.57,0.90,,
510,1958,1561976,5468,silver,1533,8286,510,8353,1546444,16.25,185.14,0.65,0.99,,
511,1955,1249156,4377,gold,989,6453,422,6337,1240189,15.29,195.71,0.69,1.02,,
512,1953,1738965,5291,silver,1311,9032,574,9043,1656494,15.74,183.18,0.59,1.00,,
513,1951,1130871,2910,silver,966,5512,394,5967,1069608,13.99,179.25,0.49,0.92,,
514,1945,1275591,3503,silver,1129,6505,425,6726,1248595,15.31,185.64,0.52,0.97,,
515,1928,1120372,4440,silver,1045,7220,415,5879,1324026,17.40,225.21,0.76,1.23,,
516,1927,1128391,3326,silver,1021,5718,371,5903,1099348,15.41,186.24,0.56,0.97,,
517,1920,1149177,4159,silver,1028,6085,394,6088,1125424,15.44,184.86,0.68,1.00,,
518,1914,1291077,3559,silver,1049,7290,443,6745,1316390,16.46,195.17,0.53,1.08,,
519,1911,1136066,4461,silver,984,5783,398,5866,1111287,14.53,189.45,0.76,0.99,,
520,1907,1144915,3486,silver,890,6255,376,5789,1170538,16.64,202.20,0.60,1.08,,
521,1906,1149659,3501,silver,1096,5630,387,6096,1094338,14.55,179.52,0.57,0.92,,
